Term,Freq,Total,Category,logprob,loglift,relevance
television_programme,7.354583199264936,8.197491494257557,Topic4,-4.7215,2.7244,2.7244
programme,7.354479321188524,8.197485533587997,Topic4,-4.7215,2.7244,2.7244
television,12.839750373546144,14.614296106088968,Topic4,-4.1643,2.7034,2.7034
broadcast,3.6961716323870304,4.538469912830886,Topic4,-5.4096,2.6276,2.6276
channel,5.470474966940487,7.277764653830095,Topic4,-5.0175,2.5474,2.5474
accommodation,6.441366021848105,8.97411114646533,Topic4,-4.8541,2.5013,2.5013
owned,2.782294444451372,4.487249169130656,Topic4,-5.6936,2.3549,2.3549
low,2.782294444451372,4.53807223104455,Topic4,-5.6936,2.3437,2.3437
client,3.6970645991105515,6.2036812799436545,Topic4,-5.4093,2.3153,2.3153
field,3.6865529072449603,6.217843327057391,Topic4,-5.4122,2.3102,2.3102
arbitration,3.6964524879269574,6.274277564707263,Topic4,-5.4095,2.3038,2.3038
information_society,10.041114945841233,17.567765756846953,Topic4,-4.4102,2.2735,2.2735
society,10.041114945841233,17.56773703275303,Topic4,-4.4102,2.2735,2.2735
connect,1.863647521507161,3.4598784687719837,Topic4,-6.0943,2.2142,2.2142
canvassing,1.8675146714517843,3.565258932417397,Topic4,-6.0922,2.1863,2.1863
entrusted,1.867518903521564,3.576804903555445,Topic4,-6.0922,2.183,2.183
traditionally,1.8675187111547558,3.5768045435400806,Topic4,-6.0922,2.183,2.183
borrowed,1.8675183264211395,3.5897375002191074,Topic4,-6.0922,2.1794,2.1794
salt,1.8675187111547558,3.6247067496633463,Topic4,-6.0922,2.1697,2.1697
establishment,5.526598752691049,10.755008868250028,Topic4,-5.0073,2.1671,2.1671
central,1.867518903521564,3.6375181220719246,Topic4,-6.0922,2.1662,2.1662
tourist,3.6970645991105515,7.234375067176361,Topic4,-5.4093,2.1616,2.1616
unknown,2.7822936749841394,5.445667630445496,Topic4,-5.6936,2.1613,2.1613
regional,2.745590665085903,5.443431678348273,Topic4,-5.7069,2.1485,2.1485
professional,9.18489720788575,18.696516475403648,Topic4,-4.4993,2.1221,2.1221
electronic_commerce,9.964963851692188,22.04378970016425,Topic4,-4.4178,2.0389,2.0389
pdo,3.6970192005438234,8.196365171054781,Topic4,-5.4093,2.0367,2.0367
mineral,2.782294444451372,6.314837979224478,Topic4,-5.6936,2.0133,2.0133
natural_mineral,2.782294444451372,6.314837979224478,Topic4,-5.6936,2.0133,2.0133
commerce,9.964963851692188,22.909458808095277,Topic4,-4.4178,2.0004,2.0004
intermediation,3.6956968711044693,8.867315944578852,Topic4,-5.4097,1.9577,1.9577
guarantee,10.100429327472087,29.79411957361993,Topic4,-4.4043,1.7512,1.7512
imposing,3.686387856523551,10.873824059431248,Topic4,-5.4122,1.7512,1.7512
tfeu,6.004148199769942,17.83755536656612,Topic4,-4.9244,1.744,1.744
carry,5.526227869484899,16.96311178915948,Topic4,-5.0073,1.7114,1.7114
profession,4.603851723597522,15.933254760212195,Topic4,-5.19,1.5914,1.5914
prohibition,6.192135969917861,22.47577161038081,Topic4,-4.8936,1.5437,1.5437
manufacturer,5.485951261391306,20.34715021339931,Topic4,-5.0147,1.5221,1.5221
aspect,6.381995084375649,24.099278505983584,Topic4,-4.8634,1.5042,1.5042
water,4.6118318682676085,18.05324419124443,Topic4,-5.1882,1.4682,1.4682
latter,4.558914837209225,21.68935779025349,Topic4,-5.1998,1.2732,1.2732
intended,4.61182955986591,24.94015501554195,Topic4,-5.1882,1.145,1.145
mean,7.220601256309637,43.01724159568877,Topic4,-4.7399,1.0482,1.0482
well,4.314171548712716,25.97414539411431,Topic4,-5.2549,1.0377,1.0377
conjunction,7.355521949288801,50.41941008877817,Topic4,-4.7214,0.908,0.908
read_conjunction,6.440735828184543,44.99425829124373,Topic4,-4.8542,0.889,0.889
operator,5.656520601793131,40.85706897745549,Topic4,-4.984,0.8556,0.8556
access,3.822002224212973,29.698001524676865,Topic4,-5.3761,0.7826,0.7826
provides,4.456750364325091,36.43647734994098,Topic4,-5.2224,0.7317,0.7317
